toi,st_pmra,st_pmraerr1,st_pmraerr2,st_pmdec,st_pmdecerr1,st_pmdecerr2,pl_tranmid,pl_orbper,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_rade,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_tmagerr2,st_dist,st_disterr1,st_disterr2,st_teff,st_tefferr1,st_tefferr2,st_logg,st_rad,disposition_category
304,-25.016,0.076,-0.076,20.026,0.061,-0.061,2459196.648,4.728681,4.533,0.191,-0.191,9990.0,3.20954,-3.20954,8.96336,222.388,1075.0,11.6888,0.006,-0.006,149.953,0.952,-0.952,4425.0,90.0,-90.0,4.57,0.9,FALSE_POSITIVE
305,29.579,0.083,-0.083,-17.89,0.075,-0.075,2460552.88,3.5247546,2.958,0.136,-0.136,17803.0,534.998,-534.998,16.3776,587.098,1371.0,7.1274,0.006,-0.006,48.3016,0.1237,-0.1237,6052.0,100.638,-100.638,4.34258,1.19,CONFIRMED
306,-81.077,0.052,-0.052,45.498,0.042,-0.042,2460355.403,8.9534775,2.696,0.316,-0.316,1136.0,46.1782,-46.1782,2.35888,45.5604,723.0,10.2549,0.006,-0.006,94.6375,0.2501,-0.2501,5029.5,59.9,-59.9,4.61,0.76,CONFIRMED
307,-5.066,0.032,-0.032,-4.88,0.03,-0.03,2458787.359,2.6816329,2.695,0.604,-0.604,3100.0,17.1943,-17.1943,13.2689,1859.62,1829.0,13.1802,0.016,-0.016,1162.86,24.665,-24.665,7047.0,122.0,-122.0,3.89,2.34,FALSE_POSITIVE
308,-1.163,0.237,-0.237,-2.205,0.268,-0.268,2459443.85,1.6865822,2.429,0.11,-0.11,1770.0,491.396,-491.396,9.49438,528.6493516,1275.5980574999999,9.7032,0.6,-0.6,6079.49,2185.29,-2185.29,5833.0,131.1,-131.1,4.34,1.24,FALSE_POSITIVE
309,-53.253,0.035,-0.035,-15.592,0.039,-0.039,2460065.683,2.4018591,3.471,1.279,-1.279,655.0,1659.19,-1659.19,10.1612,25813.2,3531.0,9.9747,0.006,-0.006,260.511,1.9645,-1.9645,6071.0,128.5,-128.5,3.95,1.86,FALSE_POSITIVE
310,61.515,0.042,-0.042,61.846,0.048,-0.048,2460364.346,17.8335899,3.642,1.183,-1.183,289.0,40.4006,-40.4006,2.16267,62.1044,782.0,9.03131,0.007,-0.007,147.527,0.492,-0.492,6304.0,141.297,-141.297,4.22164,1.43,CONFIRMED
311,5.02,0.119,-0.119,-6.988,0.174,-0.174,2458794.282,9.07768,2.78,0.101,-0.101,19171.9,573.101,-573.101,9.49438,1012.12,1571.0,9.7745,0.009,-0.009,524.755,26.8925,-26.8925,8393.7,405.5,-405.5,4.01,1.24,FALSE_POSITIVE
312,-51.664,0.044,-0.044,-110.627,0.062,-0.062,2458386.189,9.5730706,3.7949677,0.1640846,-0.1640846,370.8091141,19.648224,-19.648224,2.3053058,186.024825,941.9166541,7.757,0.006,-0.006,62.7792,0.11585,-0.11585,6101.0,193.0,-193.0,4.38774,1.11672,CONFIRMED
313,-5.379,0.035,-0.035,-7.593,0.035,-0.035,2459904.857,2.8577028,2.264,0.631,-0.631,2695.0,319.542,-319.542,7.78724,771.67,1468.0,12.4487,0.015,-0.015,594.839,9.627,-9.627,6240.0,159.7,-159.7,4.2,1.45,FALSE_POSITIVE
314,79.9,2.0,-2.0,-17.57,2.0,-2.0,2459448.108,4.0249712,2.5421502,0.0951973,-0.0951973,20420.73148,522.62897,-522.62897,10.8574371,110.8444857,827.5576787,12.806,0.038,-0.038,220.761,2.5675,-2.5675,4492.0,124.206,-124.206,4.51578,0.770497,FALSE_POSITIVE
315,-6.335,0.11,-0.11,26.221,0.078,-0.078,2459656.583,4.8420438,2.4105648,0.2969602,-0.2969602,318.6638392,31.045536,-31.045536,1.6177405,183.6641995,938.9141348,10.7157,0.007,-0.007,147.476,1.0425,-1.0425,5300.0,143.2,-143.2,4.56,0.846387,CONFIRMED
316,-5.575,0.035,-0.035,-3.373,0.044,-0.044,2459766.544,1.6453265,2.59,0.011,-0.011,19310.0,0.137604,-0.137604,19.0536,1816.48,1818.0,12.2856,0.007,-0.007,559.068,6.021,-6.021,6023.0,120.7,-120.7,4.25,1.32,CONFIRMED
317,-20.12,0.04,-0.04,89.886,0.043,-0.043,2459741.887,1.7622537,0.8779711,0.0945792,-0.0945792,733.5550822,44.17279,-44.17279,2.5235818,468.5415425,1186.606643,10.7261,0.006,-0.006,115.45,0.322,-0.322,4965.0,124.0,-124.0,4.56,0.784109,CONFIRMED
318,-61.148,0.121,-0.121,-25.733,0.13,-0.13,2459663.423,2.2054776,1.633,0.285,-0.285,28280.0,146.842,-146.842,9.6722,64.0804,788.0,14.9839,0.008,-0.008,306.144,9.566,-9.566,3770.0,157.0,-157.0,4.71,0.53,CONFIRMED
319,-16.179,0.041,-0.041,-0.612,0.037,-0.037,2458551.635,10.5426254,6.2145259,0.051915,-0.051915,16789.80761,129.46811,-129.46811,22.0104106,437.1833461,1166.233875,11.955,0.006,-0.006,677.796,15.1375,-15.1375,6114.0,194.0,-194.0,4.28439,1.65817,FALSE_POSITIVE
320,19.7,0.087,-0.087,-70.764,0.049,-0.049,2459911.47,2.1547472,1.6582238,0.0287156,-0.0287156,49552.18234,571.32574,-571.32574,11.6102486,53.5321999,689.8799484,13.1751,0.007,-0.007,112.71,0.5825,-0.5825,3538.0,157.0,-157.0,4.73,0.50843,CONFIRMED
321,-49.781,0.061,-0.061,4.865,0.064,-0.064,2459332.03,4.9816784,2.733,0.053,-0.053,18110.0,1.51789,-1.51789,10.7801,137.118,953.0,11.3728,0.006,-0.006,177.291,1.3105,-1.3105,5315.0,131.1,-131.1,4.51737,0.79,CONFIRMED
322,3.789,0.044,-0.044,-12.998,0.04,-0.04,2459328.098,3.9678136,4.238,0.607,-0.607,760.0,1.60833,-1.60833,2.81756,1275.1,1664.0,11.2123,0.006,-0.006,263.513,1.5845,-1.5845,6138.0,132.3,-132.3,4.48,1.03,FALSE_POSITIVE
323,-32.17,0.079,-0.079,-1.165,0.067,-0.067,2459576.374,1.7554285,1.7729986,0.0212823,-0.0212823,14716.59227,132.95274,-132.95274,12.622985,867.7365296,1384.256972,11.0658,0.008,-0.008,185.932,1.469,-1.469,5306.0,130.7,-130.7,4.43,0.965222,CONFIRMED
324,-11.278,0.045,-0.045,9.593,0.045,-0.045,2458518.965,1.10422,2.37,0.062,-0.062,14177.7,843.788,-843.788,21.0448,39459.3,3926.0,10.6019,0.006,-0.006,406.997,4.7245,-4.7245,6995.2,157.0,-157.0,4.07,1.61,FALSE_POSITIVE
325,-34.822,0.058,-0.058,-26.776,0.05,-0.05,2459826.908,3.4272549,5.9083927,0.4892343,-0.4892343,569.4677099,67.60695,-67.60695,7.7503736,2690.614003,1836.88767,9.27116,0.006,-0.006,236.734,1.4865,-1.4865,6338.0,144.5,-144.5,3.9,2.0707099,FALSE_POSITIVE
326,-43.419,0.077,-0.077,-90.042,0.084,-0.084,2458469.562,6.8659582,3.455761,0.2482507,-0.2482507,334.0145589,18.618645,-18.618645,2.8144915,531.5209848,1224.615786,6.7799,0.006,-0.006,54.5306,0.12465,-0.12465,6212.63,49.0057,-49.0057,4.438,1.5000401,CONFIRMED
327,-25.691,0.047,-0.047,-13.894,0.045,-0.045,2460421.899,1.8286961,3.37,0.263,-0.263,7283.0,4371.13,-4371.13,21.4433,18194.7,3235.0,10.4849,0.006,-0.006,244.318,1.586,-1.586,6046.3,179.4,-179.4,4.43,1.23,FALSE_POSITIVE
