orbital_period,transit_duration,transit_duration_err1,transit_duration_err2,transit_depth,transit_depth_err1,transit_depth_err2,planet_radius,planet_radius_err1,planet_radius_err2,equi_temp,stellar_temp,stellar_temp_err1,stellar_temp_err2,stellar_radius,stellar_radius_err1,stellar_radius_err2,label
25.9522913,10.977,0.622,-0.622,558.0,47.1,-47.1,2.03,0.51,-0.18,567.0,5692.0,177.0,-197.0,0.866,0.217,-0.078,0
124.922516,11.942,0.451,-0.451,499.0,21.6,-21.6,3.37,0.55,-0.45,407.0,5970.0,107.0,-131.0,1.2,0.195,-0.16,1
16.3012727,3.974,0.141,-0.141,260.0,15.4,-15.4,1.54,0.09,-0.12,557.0,4873.0,145.0,-130.0,0.796,0.049,-0.06,1
33.60123371,4.4056,0.0578,-0.0578,7430.0,33.2,-33.2,8.46,0.4,-0.5,495.0,5149.0,113.0,-82.0,0.93,0.044,-0.055,1
1.83592242,5.9942,0.00542,-0.00542,30700.0,24.5,-24.5,46.3,14.5,-5.17,1501.0,5930.0,184.0,-205.0,0.976,0.305,-0.109,0
4.16056658,2.61,0.167,-0.167,75.8,5.5,-5.5,0.7,0.14,-0.06,985.0,5481.0,147.0,-147.0,0.815,0.163,-0.065,1
37.809539,7.547,0.481,-0.481,487.0,53.6,-53.6,1.79,0.39,-0.17,483.0,5595.0,177.0,-197.0,0.82,0.181,-0.078,0
17.9346606,6.25,0.167,-0.167,143.0,7.4,-7.4,2.8,0.65,-0.79,1002.0,6426.0,175.0,-175.0,1.775,0.411,-0.503,1
42.03209608,11.6768,0.00719,-0.00719,391000.0,208.0,-208.0,79.17,17.7,-8.86,622.0,6618.0,148.0,-198.0,1.117,0.25,-0.125,0
364.33929,13.486,0.984,-0.984,1940.0,140.0,-140.0,4.4,1.0,-0.42,228.0,5606.0,152.0,-152.0,0.8,0.181,-0.077,0
1.041619932,8.1218,0.0436,-0.0436,1840.0,6.6,-6.6,30.94,8.68,-5.77,1858.0,5838.0,193.0,-193.0,0.991,0.278,-0.185,0
99.7468804,6.804,0.16,-0.16,1290.0,31.3,-31.3,3.94,1.4,-0.75,391.0,5620.0,169.0,-152.0,0.974,0.346,-0.186,1
101.889228,2.71,1.0,-1.0,80.9,15.6,-15.6,1.43,0.09,-0.06,487.0,5802.0,60.0,-60.0,1.59,0.09,-0.07,0
6.5886877,1.678,0.172,-0.172,852.0,28.6393,-28.6393,2.12746,0.149295,-0.149295,646.0,4920.0,127.0,-127.0,0.71,0.05,-0.05,1
3.234699282,3.59385,0.00078,-0.00078,10600.0,4.2,-4.2,13.06,0.96,-0.96,1356.0,5640.0,113.0,-101.0,1.291,0.095,-0.095,1
2.69787749,1.915,0.326,-0.326,117.0,18.2,-18.2,1.5,0.46,-0.57,1512.0,5609.0,167.0,-150.0,1.348,0.415,-0.508,0
159.388788,8.432,0.394,-0.394,1030.0,68.1,-68.1,2.73,0.14,-0.24,289.0,5135.0,84.0,-77.0,0.874,0.044,-0.076,1
2.399081606,4.384,0.0589,-0.0589,6070.0,79.5,-79.5,40.6,0.0,0.0,1360.0,5780.0,152.0,-151.4,1.0,0.169,-0.088,0
244.8327497,4.37001,0.00703,-0.00703,40200.0,66.1,-66.1,38.3,11.4,-4.86,307.0,6105.0,164.0,-182.0,0.993,0.295,-0.126,0
50.5715805,3.726,0.134,-0.134,1280.0,73.0,-73.0,2.74,0.43,-0.23,406.0,5262.0,158.0,-158.0,0.783,0.122,-0.066,0
1.824649,4.2285,0.0338,-0.0338,3220.0,21.5,-21.5,5.31,0.7,-0.64,1508.0,6190.0,203.0,-203.0,0.793,0.104,-0.095,0
7.1385672,2.464,0.331,-0.331,0.2064,0.00733176,-0.00733176,3.60516,0.245269,-0.245269,787.0,5144.5,136.4,-136.4,0.77,0.05,-0.05,1
2.535389624,2.902,0.131,-0.131,418.0,18.2,-18.2,16.24,2.7,-1.15,1113.0,5488.0,163.0,-147.0,0.706,0.117,-0.05,0
3.126861192,1.1926,0.0198,-0.0198,795.0,10.4,-10.4,5.12,3.27,-2.98,1391.0,4854.0,145.0,-116.0,1.749,1.119,-1.017,1
485.52409,11.04,2.0,-2.0,4150.0,640.0,-640.0,6149.09,1540.0,-423.0,191.0,5227.0,204.0,-168.0,0.8,0.2,-0.055,0
15.4658691,3.16,0.279,-0.279,2380.0,1.15527,-1.15527,5.07911,0.266584,-0.266584,668.0,5480.8,106.3,-106.3,1.02,0.05,-0.05,1
4.194496867,1.7807,0.0343,-0.0343,661.0,17.1,-17.1,1.57,0.09,-0.12,577.0,3706.0,73.0,-92.0,0.522,0.032,-0.039,1
0.909314811,2.2053,0.0805,-0.0805,40.5,1.6,-1.6,0.99,0.21,-0.21,2503.0,6508.0,146.0,-178.0,1.447,0.311,-0.311,0
145.5624926,5.4126,0.0976,-0.0976,2930.0,57.1,-57.1,40.15,12.1,-6.53,387.0,6148.0,165.0,-202.0,1.095,0.33,-0.178,0
265.2996227,8.8452,0.0187,-0.0187,100000.0,276.0,-276.0,33.81,8.81,-2.94,270.0,5873.0,139.0,-174.0,0.863,0.225,-0.075,0
14.17222858,2.6297,0.083,-0.083,247.0,11.0,-11.0,2.39,0.38,-0.46,873.0,5845.0,105.0,-117.0,1.314,0.209,-0.256,1
5.5460893,2.2804171,0.1922348,-0.1922348,1956.6215347,111.49815,-111.49815,8.8601851,0.9201511,-0.9201511,1588.5463022,6963.86,138.256,-138.256,1.88937,0.0908442,-0.0908442,0
0.97705114,2.33,1.0,-1.0,20.1,2.7,-2.7,0.77,0.13,-0.1,2501.0,6527.0,78.0,-78.0,1.631,0.291,-0.212,0
119.682075,31.28,1.0,-1.0,1700.0,52.1,-52.1,30.39,8.57,-2.87,351.0,5778.0,162.0,-182.0,0.911,0.257,-0.086,0
29.9685917,6.678,0.134,-0.134,310.0,12.2,-12.2,1.91,0.6,-0.2,644.0,6249.0,174.0,-217.0,1.076,0.335,-0.112,1
16.5379864,2.796,0.877,-0.877,608.0,41.2811,-41.2811,2.51948,0.164763,-0.164763,751.0,5781.0,130.458,-130.458,1.03,0.05,-0.05,1
18.64632309,8.853,0.00375,-0.00375,231000.0,86.6,-86.6,213.31,60.7,-142.0,1194.0,5786.0,192.0,-175.0,3.478,0.989,-2.307,0
35.8726918,4.402,0.515,-0.515,916.0,53.5,-53.5,62.51,3.88,-20.7,1670.0,5254.0,184.0,-299.0,15.369,0.955,-5.094,0
66.36099916,20.0614,0.0145,-0.0145,417000.0,271.0,-271.0,61.42,14.3,-8.82,420.0,5583.0,169.0,-169.0,0.857,0.199,-0.123,0
11.3909311,3.97,0.029,-0.029,0.01352,0.00033,-0.00036,10.44677001,0.3474784,-0.3474784,701.0,4920.0,68.0,-69.0,0.824,0.024,-0.023,1
0.566799833,5.543,0.149,-0.149,198.0,16.7,-16.7,1.27,0.27,-0.11,1900.0,5488.0,182.0,-182.0,0.789,0.164,-0.07,0
457.513348,5.763,0.499,-0.499,563.0,75.0,-75.0,25.18,1.46,-6.5,512.0,5047.0,82.0,-169.0,7.821,0.451,-2.02,0
6.84619236,3.529,0.145,-0.145,247.0,15.2,-15.2,1.67,0.25,-0.27,1022.0,5839.0,105.0,-105.0,1.067,0.156,-0.172,1
3.15722086,3.762,0.143,-0.143,49.7,3.2,-3.2,1.41,0.33,-0.57,1791.0,6120.0,195.0,-217.0,2.0,0.467,-0.801,1
10.6784787,2.307,0.319,-0.319,201.0,29.5,-29.5,1.12,0.25,-0.1,712.0,5459.0,164.0,-147.0,0.797,0.175,-0.07,0
3.3575477,1.788,0.152,-0.152,26240.0,33.2381,-33.2381,12.6518,0.903055,-0.903055,883.0,5013.0,122.8,-122.8,0.75,0.05,-0.05,1
0.73093905,2.8437,0.069,-0.069,451.0,10.4,-10.4,1.45,0.12,-0.13,1488.0,4768.0,168.0,-168.0,0.711,0.057,-0.064,0
5.60013327,2.6508,0.0964,-0.0964,329.0,16.0,-16.0,1.73,0.2,-0.22,952.0,5288.0,79.0,-79.0,0.978,0.113,-0.124,1
356.535835,5.467,0.261,-0.261,3110.0,144.0,-144.0,28.27,3.96,-3.24,220.0,5385.0,187.0,-187.0,0.75,0.105,-0.086,0
12.37646897,2.7075,0.0376,-0.0376,1710.0,23.8,-23.8,2.53,0.12,-0.11,483.0,4200.0,84.0,-84.0,0.607,0.028,-0.028,1
2.489550708,2.84685,0.00873,-0.00873,29800.0,69.5,-69.5,36.91,9.3,-3.11,1281.0,6018.0,163.0,-163.0,0.794,0.2,-0.067,0
45.5221456,4.3839392,0.0415654,-0.0415654,3028.5453279,26.94963,-26.94963,9.7055757,0.4855426,-0.4855426,681.5974916,6303.91,141.811,-141.811,1.61034,0.079598,-0.079598,1
11.8061737,4.472,0.261,-0.261,88.1,9.4,-9.4,2.87,0.58,-0.94,1407.0,6900.0,184.0,-204.0,2.599,0.523,-0.85,1
12.42586643,29.1428,0.13,-0.132,258.0,20.8,-20.8,2.12,0.56,-0.34,741.0,5428.0,161.0,-145.0,0.94,0.253,-0.148,0
22.0425953,61.2018,0.0,0.0,348.0,6.5,-6.5,28.78,7.83,-7.83,760.0,5974.0,189.0,-210.0,1.26,0.343,-0.343,0
19.7959731,5.342,0.141,-0.141,334.0,22.5,-22.5,3.47,1.04,-1.04,1014.0,6731.0,189.0,-259.0,1.876,0.563,-0.563,0
44.63898306,3.04001,0.00805,-0.00805,36800.0,89.2,-89.2,50.33,17.0,-5.64,551.0,6197.0,194.0,-259.0,1.035,0.349,-0.116,0
20.2729914,3.8736,0.0264,-0.0264,1.603,0.019,-0.021,11.80305668,0.33626942,-0.31385146,696.0,5870.0,170.0,-150.0,0.855,0.024,-0.021,1
2.045166206,6.84312,0.00598,-0.00598,264000.0,196.0,-196.0,131.41,32.4,-48.6,2422.0,7128.0,256.0,-342.0,2.135,0.526,-0.789,0
4.81886153,6.223,0.123,-0.123,1320.0,18.8,-18.8,2.96,0.38,-0.21,803.0,5030.0,181.0,-181.0,0.651,0.083,-0.048,0
